date,elapsed_days,rent_cash,rent_investments,rent_home_value,rent_mortgage_principal,rent_accrued_mortgage_interest,rent_equity,rent_net_worth,rent_net_worth_after_selling_costs,rent_cumulative_income,rent_cumulative_housing_cash_outflows,rent_cumulative_housing_expenses,buy_cash,buy_investments,buy_home_value,buy_mortgage_principal,buy_accrued_mortgage_interest,buy_equity,buy_net_worth,buy_net_worth_after_selling_costs,buy_cumulative_income,buy_cumulative_housing_cash_outflows,buy_cumulative_housing_expenses,net_worth_difference,net_worth_after_selling_costs_difference
2026-11-30,303,15000.00,172099.57,0.00,0.00,0.00,0.00,187099.57,187099.57,62500.00,33000.00,33000.00,15000.00,31473.40,614904.83,475620.78,0.00,139284.05,185757.45,148863.16,62500.00,167092.24,42713.03,-1342.11,-38236.40
2026-12-31,334,15000.00,175928.62,0.00,0.00,0.00,0.00,190928.62,190928.62,68750.00,36300.00,36300.00,15000.00,34195.57,616450.47,475169.55,0.00,141280.93,190476.50,153489.47,68750.00,170801.47,45971.01,-452.12,-37439.15
2027-01-31,365,15000.00,179505.68,0.00,0.00,0.00,0.00,194505.68,194505.68,75125.00,39996.00,39996.00,11558.03,34365.22,618000.00,474715.84,0.00,143284.16,189207.41,152127.41,75125.00,180643.69,55359.53,-5298.27,-42378.27
2027-02-28,393,15000.00,183311.66,0.00,0.00,0.00,0.00,198311.66,198311.66,81500.00,43392.00,43392.00,14228.37,34519.18,619402.92,474259.64,0.00,145143.28,193890.83,156726.66,81500.00,184365.91,58625.55,-4420.83,-41585.00
2027-03-31,424,15000.00,187225.34,0.00,0.00,0.00,0.00,202225.34,202225.34,87875.00,46788.00,46788.00,15000.00,36595.53,620959.87,473800.94,0.00,147158.93,198754.46,161496.87,87875.00,188088.14,61889.08,-3470.88,-40728.47
2027-04-30,454,15000.00,191127.59,0.00,0.00,0.00,0.00,206127.59,206127.59,94250.00,50184.00,50184.00,15000.00,39448.42,622470.32,473339.72,0.00,149130.60,203579.02,166230.80,94250.00,191810.36,65150.08,-2548.57,-39896.79
2027-05-31,485,15000.00,195080.05,0.00,0.00,0.00,0.00,210080.05,210080.05,100625.00,53580.00,53580.00,15000.00,42322.16,624034.98,472875.98,0.00,151159.00,208481.16,171039.06,100625.00,195532.59,68408.56,-1598.89,-39040.99
2027-06-30,515,15000.00,199020.00,0.00,0.00,0.00,0.00,214020.00,214020.00,107000.00,56976.00,56976.00,15000.00,45202.54,625552.91,472409.69,0.00,153143.22,213345.76,175812.59,107000.00,199254.81,71664.50,-674.24,-38207.42
2027-07-31,546,15000.00,203011.62,0.00,0.00,0.00,0.00,218011.62,218011.62,113375.00,60372.00,60372.00,15000.00,48104.82,627125.31,471940.84,0.00,155184.47,218289.30,180661.78,113375.00,202977.04,74917.88,277.68,-37349.84
2027-08-31,577,15000.00,207023.04,0.00,0.00,0.00,0.00,222023.04,222023.04,119750.00,63768.00,63768.00,15000.00,51021.50,628701.67,471469.43,0.00,157232.25,223253.75,185531.65,119750.00,206699.26,78168.69,1230.71,-36491.39
2027-09-30,607,15000.00,211020.33,0.00,0.00,0.00,0.00,226020.33,226020.33,126125.00,67164.00,67164.00,15000.00,53943.65,630230.96,470995.43,0.00,159235.53,228179.18,190365.32,126125.00,210421.48,81416.91,2158.85,-35655.00
2027-10-31,638,15000.00,215071.48,0.00,0.00,0.00,0.00,230071.48,230071.48,132500.00,70560.00,70560.00,15000.00,56889.30,631815.12,470518.83,0.00,161296.29,233185.59,195276.69,132500.00,214143.71,84662.54,3114.12,-34794.79
2027-11-30,668,15000.00,219107.41,0.00,0.00,0.00,0.00,234107.41,234107.41,138875.00,73956.00,73956.00,15000.00,59839.62,633351.98,470039.62,0.00,163312.36,238151.98,200150.86,138875.00,217865.93,87905.55,4044.57,-33956.55
2027-12-31,699,15000.00,223198.68,0.00,0.00,0.00,0.00,238198.68,238198.68,145250.00,77352.00,77352.00,15000.00,62814.52,634943.99,469557.78,0.00,165386.21,243200.73,205104.09,145250.00,221588.16,91145.93,5002.05,-33094.59
2028-01-31,730,15000.00,227038.92,0.00,0.00,0.00,0.00,242038.92,242038.92,151752.50,81146.82,81146.82,11549.87,63126.15,636540.00,469073.29,0.00,167466.71,242142.72,203950.32,151752.50,231566.04,100639.33,103.80,-38088.60
2028-02-29,759,15000.00,231123.76,0.00,0.00,0.00,0.00,246123.76,246123.76,158255.00,84641.64,84641.64,14335.07,63419.07,638036.68,468586.15,0.00,169450.52,247204.66,208922.46,158255.00,235301.53,103887.68,1080.91,-37201.29
2028-03-31,790,15000.00,235303.32,0.00,0.00,0.00,0.00,250303.32,250303.32,164757.50,88136.46,88136.46,15000.00,65859.92,639640.46,468096.34,0.00,171544.12,252404.03,214025.61,164757.50,239037.01,107133.35,2100.71,-36277.71
2028-04-30,820,15000.00,239465.06,0.00,0.00,0.00,0.00,254465.06,254465.06,171260.00,91631.28,91631.28,15000.00,68967.54,641196.35,467603.85,0.00,173592.50,257560.04,219088.26,171260.00,242772.49,110376.34,3094.99,-35376.79
2028-05-31,851,15000.00,243686.00,0.00,0.00,0.00,0.00,258686.00,258686.00,177762.50,95126.10,95126.10,15000.00,72101.96,642808.08,467108.65,0.00,175699.43,262801.39,224232.91,177762.50,246507.98,113616.63,4115.39,-34453.10
2028-06-30,881,15000.00,247887.99,0.00,0.00,0.00,0.00,262887.99,262887.99,184265.00,98620.92,98620.92,15000.00,75239.55,644371.68,466610.74,0.00,177760.94,268000.49,229338.19,184265.00,250243.46,116854.20,5112.50,-33549.80
2028-07-31,912,15000.00,252150.72,0.00,0.00,0.00,0.00,267150.72,267150.72,190767.50,102115.74,102115.74,15000.00,78405.09,645991.39,466110.10,0.00,179881.29,273286.38,234526.90,190767.50,253978.95,120089.04,6135.66,-32623.82
2028-08-31,943,15000.00,256434.60,0.00,0.00,0.00,0.00,271434.60,271434.60,197270.00,105610.56,105610.56,15000.00,81586.33,647615.17,465606.71,0.00,182008.46,278594.79,239737.88,197270.00,257714.43,123321.14,7160.19,-31696.72
2028-09-30,973,15000.00,260697.78,0.00,0.00,0.00,0.00,275697.78,275697.78,203772.50,109105.38,109105.38,15000.00,84769.46,649190.46,465100.56,0.00,184089.89,283859.35,244907.92,203772.50,261449.92,126550.48,8161.56,-30789.86
2028-10-31,1004,15000.00,265024.07,0.00,0.00,0.00,0.00,280024.07,280024.07,210275.00,112600.20,112600.20,15000.00,87982.27,650822.28,464591.64,0.00,186230.64,289212.91,250163.58,210275.00,265185.40,129777.04,9188.84,-29860.49
2028-11-30,1034,15000.00,269328.49,0.00,0.00,0.00,0.00,284328.49,284328.49,216777.50,116095.02,116095.02,15000.00,91196.10,652405.37,464079.93,0.00,188325.44,294521.54,255377.22,216777.50,268920.88,133000.81,10193.05,-28951.27
2028-12-31,1065,15000.00,273697.59,0.00,0.00,0.00,0.00,288697.59,288697.59,223280.00,119589.84,119589.84,15000.00,94440.80,654045.27,463565.41,0.00,190479.86,299920.67,260677.95,223280.00,272656.37,136221.78,11223.07,-28019.64
2029-01-31,1096,15000.00,277816.70,0.00,0.00,0.00,0.00,292816.70,292816.70,229912.55,123486.38,123486.38,11541.54,94909.34,655689.30,463048.07,0.00,192641.23,299092.11,259750.75,229912.55,282772.63,145820.69,6275.41,-33065.95
2029-02-28,1124,15000.00,282120.11,0.00,0.00,0.00,0.00,297120.11,297120.11,236545.10,127082.93,127082.93,14442.63,95334.52,657177.78,462527.89,0.00,194649.89,304427.04,264996.37,236545.10,286521.63,149049.52,7306.93,-32123.74
2029-03-31,1155,15000.00,286581.00,0.00,0.00,0.00,0.00,301581.00,301581.00,243177.65,130679.47,130679.47,15000.00,98157.97,658829.68,462004.86,0.00,196824.82,309982.79,270453.01,243177.65,290270.64,152275.50,8401.78,-31128.00
2029-04-30,1185,15000.00,291017.24,0.00,0.00,0.00,0.00,306017.24,306017.24,249810.20,134276.01,134276.01,15000.00,101537.17,660432.24,461478.96,0.00,198953.28,315490.45,275864.52,249810.20,294019.65,155498.62,9473.22,-30152.72
